Time,Source,Destination,Protocol,Length,Info
10.343547000000001,54.192.35.107,10.218.72.130,TCP,66,"443  >  13179 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM=1 WS=256"
10.343616,10.218.72.130,54.192.35.107,TCP,54,13179  >  443 [ACK] Seq=1 Ack=1 Win=17408 Len=0
10.345482,54.192.35.107,10.218.72.130,TCP,66,"443  >  13182 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM=1 WS=256"
10.345585,10.218.72.130,54.192.35.107,TCP,54,13182  >  443 [ACK] Seq=1 Ack=1 Win=17408 Len=0
10.345892999999998,54.192.35.107,10.218.72.130,TCP,66,"443  >  13181 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM=1 WS=256"
10.34595,10.218.72.130,54.192.35.107,TCP,54,13181  >  443 [ACK] Seq=1 Ack=1 Win=17408 Len=0
10.420878,52.8.44.206,10.218.72.130,TCP,66,"443  >  13176 [SYN, ACK] Seq=0 Ack=1 Win=26883 Len=0 MSS=1460 SACK_PERM=1 WS=256"
10.421099,10.218.72.130,52.8.44.206,TCP,54,13176  >  443 [ACK] Seq=1 Ack=1 Win=17408 Len=0
10.445506,54.192.35.107,10.218.72.130,TCP,54,443  >  13178 [ACK] Seq=1 Ack=206 Win=30464 Len=0
10.445867999999999,54.192.35.107,10.218.72.130,TCP,54,443  >  13177 [ACK] Seq=1 Ack=206 Win=30464 Len=0
10.445872999999999,54.192.35.107,10.218.72.130,TCP,54,443  >  13180 [ACK] Seq=1 Ack=206 Win=30464 Len=0
10.447072,54.192.35.107,10.218.72.130,TCP,54,443  >  13179 [ACK] Seq=1 Ack=206 Win=30464 Len=0
10.4528,54.192.35.107,10.218.72.130,TCP,1514,[TCP segment of a reassembled PDU]
10.452813,54.192.35.107,10.218.72.130,TCP,1514,[TCP segment of a reassembled PDU]
